,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
347,"Denis Lavant, Michel Subor, Grégoire Colin, Richard Courcet",6 wins & 10 nominations.,N/A,France,15 Oct 2002,Claire Denis,"Drama, War","French, Italian, Russian",91,"This film focuses on an ex-Foreign Legion officer as he recalls his once glorious life, leading troops in Africa.",https://m.media-amazon.com/images/M/MV5BMTM3NTM5MTEwOF5BMl5BanBnXkFtZTcwMTg4NjMyMQ@@._V1_SX300.jpg,La Sept ARTE,UNRATED,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",03 May 2000,True,92 min,Beau travail,movie,N/A,"Claire Denis, Jean-Pol Fargeau, Herman Melville (story ""Billy Budd,  Sailor"")",1999,tt0209933,7.4,"6,558",
348,"Emma Vilarasau, Karra Elejalde, Tristán Ulloa, Toni Sevilla",16 wins & 5 nominations.,N/A,Spain,N/A,Jaume Balagueró,"Drama, Horror, Mystery, Thriller",Spanish,N/A,"The mutilated body of a six year old girl is found in a water hole. The girl is identified as the missing daughter of Claudia. However, only two pieces of evidence could be used to identify...",https://m.media-amazon.com/images/M/MV5BMDdkMWIxZWQtNWEwNC00YmRiLTlmZTctNjk5Nzk0ZTA3NTFiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,R,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",12 Nov 1999,True,102 min,The Nameless,movie,N/A,"Jaume Balagueró, Ramsey Campbell (story)",1999,tt0222368,5.9,"6,671",
349,"Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy",Won 1 Oscar. Another 7 wins & 11 nominations.,N/A,"USA, Germany",30 Oct 2001,James Mangold,"Biography, Drama",English,51,Based on writer Susanna Kaysen's account of her 18-month stay at a mental hospital in the 1960s.,https://m.media-amazon.com/images/M/MV5BNzdjZDYwM2QtMGNlZS00MGQzLTlhMjctYTU4NWI5MWJlYmQwXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",14 Jan 2000,True,127 min,"Girl, Interrupted",movie,http://www.spe.sony.com/movies/jump/girlinterrupted.html,"Susanna Kaysen (book), James Mangold (screenplay), Lisa Loomer (screenplay), Anna Hamilton Phelan (screenplay)",1999,tt0172493,7.4,"145,810",
350,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek",1 nomination.,N/A,USA,26 Dec 2001,Hugh Wilson,"Comedy, Drama, Romance, Sci-Fi","English, French, German, Latin",48,A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.,https://m.media-amazon.com/images/M/MV5BZGFiZjRhMTYtZmMzYS00MGEyLWEzN2EtNWMzMjA3OGI0NGZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,New Line Home Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",12 Feb 1999,True,112 min,Blast from the Past,movie,N/A,"Bill Kelly (story), Bill Kelly (screenplay), Hugh Wilson (screenplay)",1999,tt0124298,6.6,"55,085",
351,"James Woods, Kathleen Turner, Kirsten Dunst, Josh Hartnett",3 wins & 13 nominations.,N/A,USA,19 Dec 2000,Sofia Coppola,"Drama, Romance",English,76,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",https://m.media-amazon.com/images/M/MV5BNTMyMjI3MmItODIzNS00OWNiLWE5NTQtYmNhNGNlOTYyYWExXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",19 May 2000,True,97 min,The Virgin Suicides,movie,http://www.virginsuicides.com,"Jeffrey Eugenides (novel), Sofia Coppola",1999,tt0159097,7.2,"133,236",
352,"Liane Balaban, Tara Spencer-Nairn, Mary Walsh, Nicholas Campbell",4 wins & 10 nominations.,N/A,Canada,19 Mar 2002,Allan Moyle,Comedy,English,72,"A gifted teenager, dreaming of life beyond her small town, becomes inspired when a 15-year-old girl from New York moves in next door.",https://m.media-amazon.com/images/M/MV5BNTY3OTE3MTg1Nl5BMl5BanBnXkFtZTcwODM4NDEzMQ@@._V1_SX300.jpg,Wellspring Media Inc.,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",21 Jan 2000,True,97 min,New Waterford Girl,movie,N/A,Tricia Fish (screenplay),1999,tt0213121,7.0,"1,640",
353,"Rose McGowan, Rebecca Gayheart, Julie Benz, Judy Greer",1 nomination.,N/A,USA,22 May 2001,Darren Stein,"Comedy, Crime, Thriller",English,22,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,https://m.media-amazon.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia TriStar,R,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '8%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",19 Feb 1999,True,87 min,Jawbreaker,movie,N/A,Darren Stein,1999,tt0155776,5.5,"21,916",
354,"Jodie Foster, Yun-Fat Chow, Bai Ling, Tom Felton",Nominated for 2 Oscars. Another 12 nominations.,N/A,USA,31 Oct 2000,Andy Tennant,"Drama, History, Romance","English, Thai, French",56,"The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s.",https://m.media-amazon.com/images/M/MV5BNjVlMWU0NjktNDkyOC00NzViLTg3Y2EtMTg0ZmY5N2FiNzgzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",17 Dec 1999,True,148 min,Anna and the King,movie,http://www.annaandtheking.com,"Anna Leonowens (diaries), Steve Meerson (screenplay), Peter Krikes (screenplay)",1999,tt0166485,6.7,"33,908",
355,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams",Nominated for 6 Oscars. Another 32 wins & 48 nominations.,N/A,USA,28 Mar 2000,M. Night Shyamalan,"Drama, Mystery, Thriller","English, Latin, Spanish",64,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,https://m.media-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Hollywood/Buena Vista,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",06 Aug 1999,True,107 min,The Sixth Sense,movie,http://movies.go.com/moviesdynamic/movies/movie?id=505420,M. Night Shyamalan,1999,tt0167404,8.1,"834,405",
356,"Amira Casar, Julie Gayet, Bruno Putzulu, Alexandra London",3 wins.,N/A,"Spain, France, Switzerland",N/A,Stéphane Giusti,"Comedy, Romance",French,N/A,"Four gay French expatriots share a business in Barcelona. When they and their parents are thrown together for a ""coming out"" party, another French Farce ensues.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDY3MzJjNmEtODU5YS00MGFhLTlhODAtYjM5ZjU5YTNhYmNiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",06 Jan 1999,True,96 min,Why Not Me?,movie,N/A,Stéphane Giusti,1999,tt0162556,6.7,753,
357,"Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter, Donald Wiegert",Nominated for 1 Oscar. Another 14 wins & 37 nominations.,N/A,"France, UK, USA",07 Nov 2000,David Lynch,"Biography, Drama",English,86,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,https://m.media-amazon.com/images/M/MV5BNmE1MDk4OWEtYjk1NS00MWU2LTk5ZWItYjZhYmRkODRjMDc0XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Buena Vista Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",03 Nov 1999,True,112 min,The Straight Story,movie,http://disney.go.com/DisneyPictures/straightstory/index.html,"John Roach, Mary Sweeney",1999,tt0166896,8.0,"73,810",
358,"Kirsten Dunst, Ellen Barkin, Allison Janney, Denise Richards",2 wins & 2 nominations.,N/A,"Germany, USA",02 Oct 2001,Michael Patrick Jann,"Comedy, Romance, Thriller",English,28,A small-town beauty pageant turns deadly as it becomes clear that someone will go to any lengths to win.,https://m.media-amazon.com/images/M/MV5BOTBhYjRlYmYtNzQxZS00NmEwLTk3OTAtNjU4MDEwMmUyZDczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,New Line Cinema.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",23 Jul 1999,True,97 min,Drop Dead Gorgeous,movie,http://www.ddgorgeous.com,Lona Williams,1999,tt0157503,6.6,"29,762",
359,"Matthew Perry, Neve Campbell, Dylan McDermott, Oliver Platt",N/A,N/A,"Australia, USA",11 Apr 2000,Damon Santostefano,"Comedy, Romance",English,36,"A rich businessman's assumption that his new colleague is gay leads him to ask the man to keep an eye on his mistress. However, the man is not gay, and begins to fall for the woman himself.",https://m.media-amazon.com/images/M/MV5BYmE2NGUwYjEtNGMzZS00YzlkLThmYTgtZWMxZTVkOTY4ZTRmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",22 Oct 1999,True,98 min,Three to Tango,movie,http://www.3totango.com,"Rodney Patrick Vaccaro (story), Rodney Patrick Vaccaro (screenplay), Aline Brosh McKenna (screenplay)",1999,tt0144640,6.1,"17,503",
360,"Frank Giering, Florian Lukas, Antoine Monot Jr., Julia Hummer",5 wins & 2 nominations.,N/A,Germany,N/A,Sebastian Schipper,"Comedy, Drama","German, Italian",N/A,Three friends from Hamburg spend one last night on the town before one of them leaves the city forever.,https://m.media-amazon.com/images/M/MV5BMTM0ODIwMDQwOV5BMl5BanBnXkFtZTcwMzM2NTcxMQ@@._V1_SX300.jpg,X Filme Creative Pool,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",30 Sep 1999,True,80 min,Gigantic,movie,N/A,Sebastian Schipper,1999,tt0177507,7.7,"3,972",
361,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco",N/A,N/A,"USA, Canada",21 May 2002,Troy Duffy,"Action, Crime, Thriller","English, Spanish, Papiamento, Russian, Latin",44,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,https://m.media-amazon.com/images/M/MV5BYzVmMTdjOTYtOTJkYS00ZTg2LWExNTgtNzA1N2Y0MDgwYWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Indican,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",19 Nov 1999,True,108 min,The Boondock Saints,movie,http://theboondocksaints.com/,Troy Duffy,1999,tt0144117,7.8,"216,188",
362,"Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris",Nominated for 1 Golden Globe. Another 8 wins & 26 nominations.,N/A,"UK, USA",07 Mar 2000,Stanley Kubrick,"Drama, Mystery, Thriller",English,68,"A New York City doctor embarks on a harrowing, night-long odyssey of sexual and moral discovery after his wife reveals a painful secret to him.",https://m.media-amazon.com/images/M/MV5BMjA5NTUwNjI1N15BMl5BanBnXkFtZTYwOTE1ODc5._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",16 Jul 1999,True,159 min,Eyes Wide Shut,movie,http://eyeswideshut.warnerbros.com,"Stanley Kubrick (screenplay), Frederic Raphael (screenplay), Arthur Schnitzler (inspired by ""Traumnovelle"" by)",1999,tt0120663,7.4,"269,519",
363,"Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan",Nominated for 4 Oscars. Another 15 wins & 32 nominations.,N/A,USA,13 Jun 2000,Frank Darabont,"Crime, Drama, Fantasy, Mystery","English, French",61,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",10 Dec 1999,True,189 min,The Green Mile,movie,http://www.thegreenmile.com,"Stephen King (novel), Frank Darabont (screenplay)",1999,tt0120689,8.6,"998,873",
364,"Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",Won 2 Oscars. Another 6 wins & 29 nominations.,N/A,USA,15 Aug 2000,Lasse Hallström,"Drama, Romance",English,75,"A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world.",https://m.media-amazon.com/images/M/MV5BNmY5YzA4OTQtOTQzZS00NDZmLTlhNzQtNzk5NTIyZWE2ZjVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",07 Jan 2000,True,126 min,The Cider House Rules,movie,http://www.miramax.com/movie/the-cider-house-rules,"John Irving (novel), John Irving (screenplay)",1999,tt0124315,7.4,"87,595",
365,"Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon",20 wins & 18 nominations.,N/A,USA,23 Nov 1999,Brad Bird,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",English,85,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://m.media-amazon.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",06 Aug 1999,True,86 min,The Iron Giant,movie,http://www.irongiant.com,"Tim McCanlies (screenplay by), Brad Bird (screen story by), Ted Hughes (based on the book ""The Iron Man"" by)",1999,tt0129167,8.0,"154,979",
366,"Jason Biggs, Jennifer Coolidge, Shannon Elizabeth, Alyson Hannigan",9 wins & 14 nominations.,N/A,USA,21 Dec 1999,"Paul Weitz, Chris Weitz",Comedy,English,58,Four teenage boys enter a pact to lose their virginity by prom night.,https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",09 Jul 1999,True,95 min,American Pie,movie,http://www.universalpictures.com/americanpie,Adam Herz,1999,tt0163651,7.0,"349,438",
367,"Wendy Crewson, Karyn Dwyer, Christina Cox, Ann-Marie MacDonald",1 win & 1 nomination.,N/A,Canada,06 Nov 2001,Anne Wheeler,"Comedy, Drama, Romance",English,N/A,"Two attractive young lesbians, Maggie and Kim, meet in Vancouver, develop a passionate romance, and move in together. Meanwhile, Maggie's well-meaning but naive mother Lila gets divorced ...",https://m.media-amazon.com/images/M/MV5BMTQzMTA2MTQwNF5BMl5BanBnXkFtZTYwMjg5NzQ3._V1_SX300.jpg,Trimark Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}]",13 Aug 1999,True,101 min,Better Than Chocolate,movie,N/A,Peggy Thompson (screenplay),1999,tt0168987,6.1,"7,367",
368,"Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier",Nominated for 1 Oscar. Another 10 wins & 34 nominations.,N/A,"USA, Germany",06 Jun 2000,David Fincher,Drama,English,66,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",https://m.media-amazon.com/images/M/MV5BMjJmYTNkNmItYjYyZC00MGUxLWJhNWMtZDY4Nzc1MDAwMzU5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,20th Century Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '8.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",15 Oct 1999,True,139 min,Fight Club,movie,http://www.foxmovies.com/fightclub/,"Chuck Palahniuk (novel), Jim Uhls (screenplay)",1999,tt0137523,8.8,"1,655,941",
369,"Natasha Lyonne, Michelle Williams, Brandt Wille, Bud Cort",2 wins & 2 nominations.,"$175,182",USA,03 Oct 2000,Jamie Babbit,"Comedy, Drama, Romance",English,39,A naive teenager is sent to rehab camp when her straitlaced parents and friends suspect her of being a lesbian.,https://m.media-amazon.com/images/M/MV5BNmZjNGVmYmItZWFmNi00ODQ1LThmZTUtMzYzMGJlMjZjMGFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Lions Gate Films,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",11 Aug 2000,True,85 min,But I'm a Cheerleader,movie,http://www.kushner-locke.com/films/feature/cheerleader/cheerleader.html,"Brian Peterson (screenplay), Jamie Babbit (story)",1999,tt0179116,6.6,"23,070",
370,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri",Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,N/A,"USA, Australia",17 Aug 1999,Harold Ramis,"Comedy, Crime",English,61,A comedy about a psychiatrist whose number one patient is an insecure mob boss.,https://m.media-amazon.com/images/M/MV5BNTIzNjQ5OTMtM2U2NS00YTNkLWIzMmYtOTcyOTA5MDU0YTdjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",05 Mar 1999,True,103 min,Analyze This,movie,http://www.analyzethis.com,"Kenneth Lonergan (story), Peter Tolan (story), Peter Tolan (screenplay), Harold Ramis (screenplay), Kenneth Lonergan (screenplay)",1999,tt0122933,6.7,"136,825",
371,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett",Nominated for 5 Oscars. Another 10 wins & 75 nominations.,N/A,USA,27 Jun 2000,Anthony Minghella,"Crime, Drama, Thriller","English, Italian",76,"In late 1950s New York, Tom Ripley, a young underachiever, is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures.",https://m.media-amazon.com/images/M/MV5BODA3NDhiZjYtYTk2NS00ZWYwLTljYTQtMjU0NzcyMGEzNTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",25 Dec 1999,True,139 min,The Talented Mr. Ripley,movie,http://www.talentedmrripley.com,"Patricia Highsmith (novel), Anthony Minghella (screenplay)",1999,tt0134119,7.4,"159,270",
372,"Ben Affleck, Casey Affleck, Jennifer Albano, Jenni Blong",2 nominations.,N/A,USA,31 Aug 1999,Risa Bramon Garcia,"Comedy, Drama, Romance",English,33,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",https://m.media-amazon.com/images/M/MV5BNzhmMTdjNTEtYjk5OC00NTgzLThmNWYtZDU2YTVkNWQ0M2YyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",26 Feb 1999,True,101 min,200 Cigarettes,movie,http://www.200cigarettes.com,Shana Larsen,1999,tt0137338,5.9,"13,864",
373,"Maria Schrader, Juliane Köhler, Johanna Wokalek, Heike Makatsch",Nominated for 1 Golden Globe. Another 8 wins & 3 nominations.,N/A,Germany,23 Oct 2001,Max Färberböck,"Biography, Drama, Romance, War",German,72,"In 1943 Berlin, a Nazi officer's wife meets and starts a passionate affair with a Jewish woman.",https://m.media-amazon.com/images/M/MV5BMTg0Nzc5MzA0NF5BMl5BanBnXkFtZTcwMTQyMDEyMQ@@._V1_SX300.jpg,Zeitgeist,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",11 Feb 1999,True,125 min,Aimee & Jaguar,movie,http://www.zeitgeistfilm.com/current/aimeejaguar/aimeejaguar.html,"Max Färberböck, Rona Munro, Erica Fischer (book)",1999,tt0130444,7.3,"5,714",
374,"Miho Kanno, Mami Nakamura, Yoriko Dôguchi, Tomorô Taguchi",N/A,N/A,Japan,27 Jan 2004,Ataru Oikawa,"Crime, Drama, Horror, Mystery",Japanese,N/A,"A traumatized young woman is trying to recover her memories with the help of a psychiatrist. During her hypnosis sessions, she repeats the name ""Tomie"" but is unable to recall where she knows it from.",https://m.media-amazon.com/images/M/MV5BMTY1NDczNDQ0M15BMl5BanBnXkFtZTcwNzY1NDQyMQ@@._V1_SX300.jpg,Daiei Studios,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",06 Mar 1999,True,95 min,Tomie,movie,N/A,"Junji Ito (comic), Ataru Oikawa",1998,tt0240119,5.3,"1,453",
375,"Hannah Taylor Gordon, Talya Gordon, Lindsay Duncan, Bruce Byron",5 nominations.,N/A,UK,11 Jul 2000,Patricia Rozema,"Comedy, Drama, Romance",English,71,"At 10, Fanny Price, a poor relation, goes to live at Mansfield Park, the estate of her aunt's husband, Sir Thomas. Clever, studious, and a writer with an ironic imagination and fine moral ...",https://m.media-amazon.com/images/M/MV5BNjUyNDg5OWUtYjZmMC00MmQ4LThjZjYtZmE4MzBhMzI2MzQ1XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,Miramax,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",25 Dec 1999,True,112 min,Mansfield Park,movie,http://www.mansfieldpark.com,"Jane Austen (novel), Patricia Rozema",1999,tt0178737,7.1,"19,666",
376,"Cher, Judi Dench, Joan Plowright, Maggie Smith",Won 1 BAFTA Film Award. Another 4 wins & 3 nominations.,N/A,"Italy, UK",16 Nov 1999,Franco Zeffirelli,"Drama, Comedy, War","English, Italian",53,An orphaned Italian boy is raised among a circle of British and American women living in Mussolini's Italy before and during the Second World War.,https://m.media-amazon.com/images/M/MV5BMTcyNDQxODUyOF5BMl5BanBnXkFtZTcwNTczMTM3NA@@._V1_SX300.jpg,MGM/UA,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",14 May 1999,True,117 min,Tea with Mussolini,movie,N/A,"John Mortimer, Franco Zeffirelli (autobiography)",1999,tt0120857,6.9,"10,240",
377,"Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara",3 wins & 2 nominations.,N/A,USA,04 Jan 2000,John McTiernan,"Crime, Romance, Thriller","English, German, Polish, French",72,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",https://m.media-amazon.com/images/M/MV5BMmU0N2RiNTAtN2U4MS00MWExLTkzNGYtOTVhNmVmZmNlOTUzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,MGM/UA,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",06 Aug 1999,True,113 min,The Thomas Crown Affair,movie,http://www.mgm.com/thethomascrownaffair,"Alan Trustman (story), Leslie Dixon (screenplay), Kurt Wimmer (screenplay)",1999,tt0155267,6.8,"80,995",
378,"Will Keenan, Alyce LaTourelle, Lloyd Kaufman, Trent Haaga",N/A,N/A,USA,23 Jan 2001,Lloyd Kaufman,"Comedy, Horror",English,24,A homicidal maniac is on the loose in the city and the low-budget film crew of a Troma movie has the power to stop them.,https://m.media-amazon.com/images/M/MV5BODRkMzM3MTYtMDY0YS00OGRkLWJlZDItYTA2ZDc3MmQ0NGU4XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,Troma,R,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Metacritic', 'Value': '24/100'}]",20 Jun 1999,True,124 min,Terror Firmer,movie,N/A,"Patrick Cassidy (screenplay by), Douglas Buck (screenplay by), Lloyd Kaufman (inspired by the book ""All I Need to Know about Filmmaking I Learned from the Toxic Avenger"" by), James Gunn (inspired by the book ""All I Need to Know about Filmmaking I Learned from the Toxic Avenger"" by)",1999,tt0169299,6.2,"4,498",
