,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes
461,"Bette Davis, Claude Rains, Walter Abel, George Coulouris",N/A,N/A,USA,14 Jun 2005,Vincent Sherman,"Drama, Romance",English,N/A,"Popular and beautiful Fanny Trellis is forced into a loveless marriage with an older man, Jewish banker Job Skeffington, in order to save her beloved brother Trippy from an embezzlement charge, and predictable complications result.",https://m.media-amazon.com/images/M/MV5BYTMxYmVlZWItYWU4Ny00NDE3LTg2NjctNDQwM2U4ODc0MWFkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,MGM Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",12 Aug 1944,True,146 min,Mr. Skeffington,movie,N/A,"Julius J. Epstein (screen play), Philip G. Epstein (screen play), Elizabeth von Arnim (from a story by)",1944,tt0037094,7.8,"4,827"
462,"Takashi Shimura, Sôji Kiyokawa, Ichirô Sugai, Takako Irie",N/A,N/A,Japan,08 Feb 2005,Akira Kurosawa,Drama,Japanese,N/A,World War II propaganda film about female volunteer workers at an optics plant who do their best to meet production targets.,https://m.media-amazon.com/images/M/MV5BNDBjYWYzNDItZjk2Ny00ZmYwLTljYmItYmE2ZjEwN2NiMjljXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Criterion Collection,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",01 Jun 1987,True,85 min,The Most Beautiful,movie,N/A,Akira Kurosawa,1944,tt0036947,5.8,"1,419"
463,"Edward G. Robinson, Joan Bennett, Raymond Massey, Edmund Breon",N/A,N/A,USA,10 Jul 2007,Fritz Lang,"Crime, Drama, Film-Noir, Mystery, Thriller",English,N/A,"When a conservative middle-aged professor engages in a minor dalliance with a femme fatale, he is plunged into a nightmarish quicksand of blackmail and murder.",https://m.media-amazon.com/images/M/MV5BMGUxNTljMzUtNjA1Zi00YTE3LTlmMWMtNzlmNjEyM2Q1NWMxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,International Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",03 Nov 1944,True,107 min,The Woman in the Window,movie,N/A,"Nunnally Johnson (written for the screen by), J.H. Wallis (novel)",1944,tt0037469,7.7,"11,839"
464,"Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson",1 nomination.,N/A,USA,29 Aug 2000,Frank Capra,"Comedy, Crime, Thriller","English, German",N/A,"A drama critic learns on his wedding day that his beloved maiden aunts are homicidal maniacs, and that insanity runs in his family.",https://m.media-amazon.com/images/M/MV5BZDVlNTBjMjctNjAzNS00ZGJhLTg2NzMtNzIwYTIzYTBiMDkyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Warner Bros. Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",23 Sep 1944,True,118 min,Arsenic and Old Lace,movie,N/A,"Julius J. Epstein (screen play), Philip G. Epstein (screen play), Joseph Kesselring (play)",1944,tt0036613,8.0,"61,037"
465,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer",Nominated for 4 Oscars. Another 6 wins & 1 nomination.,N/A,USA,06 Apr 2004,Vincente Minnelli,"Comedy, Drama, Family, Musical, Romance",English,N/A,"In the year leading up to the 1904 St. Louis World's Fair, the four Smith daughters learn lessons of life and love, even as they prepare for a reluctant move to New York.",https://m.media-amazon.com/images/M/MV5BZWVmZmRlNWQtYzYyMy00ZDljLWE5MjgtNDE5MGVmYTQ5NDk0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",01 Jan 1945,True,113 min,Meet Me in St. Louis,movie,N/A,"Irving Brecher (screen play), Fred F. Finklehoffe (screen play), Sally Benson (based on the novel by)",1944,tt0037059,7.6,"18,091"
466,"Benny Fields, Gladys George, Alan Dinehart, Roscoe Karns",N/A,N/A,USA,N/A,"Joseph H. Lewis, Edgar G. Ulmer",Musical,English,N/A,"The story of a singer in a minstrel show, from his career highs to the tragedies in his personal life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNjgxMDMzNV5BMl5BanBnXkFtZTcwMDA2MDc0NQ@@._V1_SX300.jpg,Producers Releasing Corporation,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",01 Aug 1944,True,70 min,Minstrel Man,movie,N/A,"Irwin Franklyn (screenplay), Pierre Gendron (screenplay), Martin Mooney (story), Raymond L. Schrock (story)",1944,tt0037076,5.7,92
467,"Tallulah Bankhead, William Bendix, Walter Slezak, Mary Anderson",Nominated for 3 Oscars. Another 2 wins.,N/A,USA,18 Oct 2005,Alfred Hitchcock,"Drama, War","English, German, French",78,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the U-boat men who sunk it.,https://m.media-amazon.com/images/M/MV5BZTBmMjUyMjItYTM4ZS00MjAwLWEyOGYtYjMyZTUxN2I3OTMxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,20th Century Fox,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",28 Jan 1944,True,97 min,Lifeboat,movie,N/A,"John Steinbeck (by), Jo Swerling (screen play)",1944,tt0037017,7.8,"24,038"
468,"Stig Järrel, Alf Kjellin, Mai Zetterling, Olof Winnerstrand",1 nomination.,N/A,Sweden,20 Mar 2007,Alf Sjöberg,"Drama, Romance","Swedish, Latin",N/A,"An idealistic adolescent, suffering under the thumb of a sadistic schoolmaster, falls in love with a loose girl who is bullied and tormented by another lover.",https://m.media-amazon.com/images/M/MV5BYTg0NGMyOWYtMzM5Yi00NDczLTlmZjItMzc3NDc1NGZiMmRjXkEyXkFqcGdeQXVyNzQxNDExNTU@._V1_SX300.jpg,Criterion Collection,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",02 Oct 1944,True,95 min,Torment,movie,N/A,Ingmar Bergman,1944,tt0036914,7.4,"2,812"
469,"Claudette Colbert, Jennifer Jones, Joseph Cotten, Shirley Temple",Won 1 Oscar. Another 8 nominations.,N/A,USA,19 Oct 2004,"John Cromwell, Edward F. Cline, Tay Garnett, David O. Selznick","Drama, Romance, War","English, Yiddish",N/A,"With her husband away to fight in World War II, a housewife struggles to care for their two daughters - and a pair of lodgers who have moved in - alone.",https://m.media-amazon.com/images/M/MV5BMTcyNDE3MjI0NV5BMl5BanBnXkFtZTgwODg0MTM1MjE@._V1_SX300.jpg,United Artists,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",20 Jul 1944,True,177 min,Since You Went Away,movie,N/A,"Margaret Buell Wilder (book), Margaret Buell Wilder (adaptation), David O. Selznick (screenplay)",1944,tt0037280,7.6,"3,843"
470,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",Nominated for 7 Oscars. Another 2 wins & 2 nominations.,N/A,USA,10 Oct 2000,Billy Wilder,"Crime, Drama, Film-Noir, Mystery, Thriller",English,95,An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,https://m.media-amazon.com/images/M/MV5BOGZiZjFiMWItN2NkZC00MjEwLTk4YzEtNTMwOTlmOGM3ZGJkXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_SX300.jpg,Paramount Pictures,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '95/100'}]",06 Jul 1944,True,107 min,Double Indemnity,movie,N/A,"Billy Wilder (screenplay), Raymond Chandler (screenplay), James M. Cain (from the novel by)",1944,tt0036775,8.3,"125,435"
471,"Ginger Rogers, Joseph Cotten, Shirley Temple, Spring Byington",N/A,N/A,USA,19 Oct 2004,"William Dieterle, George Cukor","Drama, Family, Romance",English,N/A,A soldier suffering from combat fatigue meets a young woman on Christmas furlough from prison and their mutual loneliness blossoms into romance.,https://m.media-amazon.com/images/M/MV5BOThjYjM2NDctYWE2ZC00YzgxLWI1YmUtODAxYmU1ODBjMTkyXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,Vanguard,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",05 Jan 1945,True,85 min,I'll Be Seeing You,movie,N/A,"Charles Martin (play), Marion Parsonnet",1944,tt0036940,7.2,"1,794"
472,"Eddie Bracken, Ella Raines, Raymond Walburn, William Demarest",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,N/A,USA,10 May 2011,Preston Sturges,"Comedy, War",English,N/A,"Woodrow is discharged from the military for hay fever, but fabricates receiving a heroic honorable discharge before returning home.",https://m.media-amazon.com/images/M/MV5BNWQ3ZDkwNzUtYjNiOC00MDdmLTk1OGEtMzcyZjExYWQ4NTA4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,MCA Universal Home Video,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",01 Sep 1944,True,101 min,Hail the Conquering Hero,movie,N/A,Preston Sturges,1944,tt0036891,7.8,"3,705"
473,"Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll",Won 1 Oscar. Another 1 win & 6 nominations.,N/A,USA,13 Mar 2001,Alfred Hitchcock,"Film-Noir, Mystery, Romance, Thriller",English,N/A,A psychiatrist protects the identity of an amnesia patient accused of murder while attempting to recover his memory.,https://m.media-amazon.com/images/M/MV5BMTM2NDI5Nzg5Nl5BMl5BanBnXkFtZTcwNDk3NzI0NA@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",28 Dec 1945,True,111 min,Spellbound,movie,N/A,"Ben Hecht (screen play), John Palmer (suggested by novel: ""The House of Dr. Edwardes""), Hilary St George Saunders (suggested by novel: ""The House of Dr. Edwardes""), Angus MacPhail (adaptation)",1945,tt0038109,7.6,"39,008"
474,"Dorothy McGuire, Robert Young, Herbert Marshall, Mildred Natwick",N/A,N/A,USA,N/A,John Cromwell,"Drama, Fantasy, Romance",English,N/A,"A homely maid and a scarred ex-GI meet at the cottage where she works and where he was to spend his honeymoon prior to his accident. The two develop a bond and agree to marry, more out of ...",https://m.media-amazon.com/images/M/MV5BMTQ4Njc0MzU3OV5BMl5BanBnXkFtZTgwODM0MDgyMTE@._V1_SX300.jpg,RKO Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",29 Jun 1945,True,91 min,The Enchanted Cottage,movie,N/A,"DeWitt Bodeen, Herman J. Mankiewicz, Arthur Wing Pinero (play)",1945,tt0037671,7.6,"2,474"
475,"Edward G. Robinson, Joan Bennett, Dan Duryea, Margaret Lindsay",N/A,N/A,USA,19 Feb 2002,Fritz Lang,"Drama, Film-Noir, Thriller",English,N/A,"When a man in mid-life crisis befriends a young woman, her venal fiancé persuades her to con him out of the fortune they mistakenly assume he possesses.",https://m.media-amazon.com/images/M/MV5BOTM0Y2YyMDAtMDI3Ni00NjY4LWJiYzYtMzUxNDhkMGNlYjg1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Acme DVD Works,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",28 Dec 1945,True,102 min,Scarlet Street,movie,N/A,"Georges de La Fouchardière (novel), André Mouézy-Éon (novel), Dudley Nichols (screen play)",1945,tt0038057,7.9,"12,352"
476,"Tom Neal, Ann Savage, Claudia Drake, Edmund MacDonald",1 win.,N/A,USA,26 Sep 2000,Edgar G. Ulmer,"Crime, Drama, Film-Noir",English,N/A,Chance events trap hitch-hiker Al Roberts in a tightening net of film noir trouble.,https://m.media-amazon.com/images/M/MV5BOTQ1OTIyMzUxMF5BMl5BanBnXkFtZTgwNjk1Njg1NzM@._V1_SX300.jpg,Film Chest,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",01 Oct 1946,True,68 min,Detour,movie,http://filmchestmediagroup.com/,"Martin Goldsmith (screenplay), Martin Goldsmith (original story)",1945,tt0037638,7.4,"12,332"
477,"George Carney, Wendy Hiller, Walter Hudd, Duncan MacKechnie",N/A,N/A,UK,27 Jan 2001,"Michael Powell, Emeric Pressburger","Drama, Romance","English, Scottish Gaelic",N/A,"A young Englishwoman goes to the Hebrides to marry her older, wealthier fiancé. When the weather keeps them separated on different islands, she begins to have second thoughts.",https://m.media-amazon.com/images/M/MV5BYTM0OTRiYjktMTNjZi00NzVhLWIzYmQtZDQyYzk4NTE5NzRmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Universal Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",09 Aug 1947,True,91 min,'I Know Where I'm Going!',movie,N/A,"Michael Powell, Emeric Pressburger",1945,tt0037800,7.6,"6,976"
478,"Lana Turner, Laraine Day, Susan Peters, Agnes Moorehead",N/A,N/A,USA,06 Jul 2010,Edward Buzzell,"Drama, War",English,N/A,A disparate group of women try to adjust to their new lives after enlisting in the Womens Army Corps.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MDk4ODM0NV5BMl5BanBnXkFtZTcwOTU1NTk5Mw@@._V1_SX300.jpg,Unknown,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",01 Apr 1945,True,93 min,Keep Your Powder Dry,movie,N/A,"Mary C. McCall Jr. (original screenplay), George Bruce (original screenplay)",1945,tt0037843,6.4,259
479,"Frank Sinatra, Kathryn Grayson, Gene Kelly, José Iturbi",Won 1 Oscar. Another 4 nominations.,N/A,USA,02 May 2000,George Sidney,"Comedy, Fantasy, Music, Musical, Romance, War","English, Spanish",N/A,"Two sailors, one naive, the other experienced in the ways of the world, on liberty in Los Angeles, is the setting for this movie musical.",https://m.media-amazon.com/images/M/MV5BNmEyNzUzNTctZDM1MS00ODYwLTgyYzgtOGVlNTU3YWNjODhiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}]",01 Aug 1945,True,140 min,Anchors Aweigh,movie,N/A,"Isobel Lennart (screen play), Natalie Marcin (suggested by a story by)",1945,tt0037514,7.2,"7,163"
480,"Basil Rathbone, Nigel Bruce, Hillary Brooke, Henry Daniell",N/A,N/A,USA,27 Nov 2001,Roy William Neill,"Drama, Mystery",English,N/A,"Sherlock Holmes investigates when young women around London turn up murdered, each with a finger severed off. Scotland Yard suspects a madman, but Holmes believes the killings to be part of a diabolical plot.",https://m.media-amazon.com/images/M/MV5BMmNhYTVhNzQtY2I4Ni00YTEzLTg5OWEtYWIzYWNmNmUwNTc5XkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,American Pop Classics,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",27 Jul 1945,True,68 min,The Woman in Green,movie,N/A,"Bertram Millhauser (original screenplay), Arthur Conan Doyle (based on the characters created by)",1945,tt0038259,6.9,"4,698"
481,"Sidney Toler, Fortunio Bonanova, Benson Fong, Robert Emmett Keane",N/A,N/A,USA,N/A,Phil Rosen,"Comedy, Crime, Mystery",English,N/A,"Chan is faced with suspects in a stolen atomic bomb formula case, that are being killed with bullets that are not fired from a gun.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTdmYTM2NjgtYjA3YS00YjRkLTgxODUtYjAwMmNmOWM0MDAxXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,N/A,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",02 Feb 1946,True,64 min,The Red Dragon,movie,N/A,"George Callahan (original screenplay), Earl Derr Biggers (based on the character created by)",1945,tt0038017,7.5,530
482,"Arletty, Jean-Louis Barrault, Pierre Brasseur, Pierre Renoir",Nominated for 1 Oscar. Another 2 wins.,N/A,France,22 Jan 2002,Marcel Carné,"Drama, Romance",French,N/A,The theatrical life of a beautiful courtesan and the four men who love her.,https://m.media-amazon.com/images/M/MV5BOTgzZWIxNGYtNzE3OC00NjJlLThlMDgtYzgxZTUzOWQ2MGJkL2ltYWdlXkEyXkFqcGdeQXVyNzE3NzY5NTM@._V1_SX300.jpg,Home Vision Entertainment,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",15 Nov 1946,True,189 min,Children of Paradise,movie,N/A,Jacques Prévert (scenario and dialogue),1945,tt0037674,8.3,"16,627"
483,"James Mason, Ann Todd, Herbert Lom, Hugh McDermott",Won 1 Oscar. Another 1 nomination.,N/A,UK,N/A,Compton Bennett,"Drama, Music",English,N/A,"One dark summer night, Francesca Cunningham, a once world famed pianist, escapes from her hospital room and tries to commit suicide by jumping off a local bridge. She is rescued and taken ...",https://m.media-amazon.com/images/M/MV5BNTIyNzY2OTkzNl5BMl5BanBnXkFtZTcwNTgyMTM4NA@@._V1_SX300.jpg,N/A,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",15 Feb 1946,True,94 min,The Seventh Veil,movie,N/A,"Muriel Box (original story and screenplay), Sydney Box (original story and screenplay)",1945,tt0038924,7.0,"1,244"
484,"Paul Bernard, María Casares, Elina Labourdette, Lucienne Bogaert",N/A,N/A,France,11 Mar 2003,Robert Bresson,"Drama, Romance",French,N/A,A society lady engineers a marriage between her lover and a cabaret dancer who is essentially a prostitute.,https://m.media-amazon.com/images/M/MV5BMTY1NDQ1MzAyN15BMl5BanBnXkFtZTYwNTQzNTk5._V1_SX300.jpg,Criterion Collection,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",03 Apr 1964,True,86 min,Les Dames du Bois de Boulogne,movie,N/A,"Robert Bresson (scenario & adaptation), Denis Diderot (novel), Jean Cocteau (dialogue: additional)",1945,tt0037630,7.4,"3,416"
485,"Errol Flynn, James Brown, William Prince, George Tobias",N/A,N/A,USA,13 May 2003,Raoul Walsh,"Action, Adventure, Drama","English, Japanese",N/A,"A platoon of special ops are tasked to parachute into the remote Burmese jungle and destroy a strategic Japanese radar station, but getting out isn't as easy.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1NjVjOTctY2I1YS00YTc2LTgxMzUtMjEzZjZkYzliNDEyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,WARNER BROTHERS PICTURES,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",17 Feb 1945,True,142 min,"Objective, Burma!",movie,N/A,"Ranald MacDougall (screenplay), Lester Cole (screenplay), Alvah Bessie (original story)",1945,tt0037954,7.4,"3,800"
486,"Aldo Fabrizi, Anna Magnani, Marcello Pagliero, Vito Annichiarico",Nominated for 1 Oscar. Another 7 wins.,N/A,Italy,15 Oct 1997,Roberto Rossellini,"Drama, Thriller, War","Italian, German, Latin",N/A,"During the Nazi occupation of Rome in 1944, the Resistance leader, Giorgio Manfredi, is chased by the Nazis as he seeks refuge and a way to escape.",https://m.media-amazon.com/images/M/MV5BNGI0MmY1NTMtMTFmZS00Y2NkLTgyZDktMTFkNDZlOTc4YWU3XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,Criterion Collection,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",08 Oct 1945,True,103 min,"Rome, Open City",movie,N/A,"Sergio Amidei (screenplay), Federico Fellini (collaboration on screenplay), Roberto Rossellini (collaboration on screenplay), Sergio Amidei (story), Alberto Consiglio (additional material), Roberto Rossellini (additional material)",1945,tt0038890,8.1,"20,070"
487,"Celia Johnson, Trevor Howard, Stanley Holloway, Joyce Carey",Nominated for 3 Oscars. Another 3 wins.,N/A,UK,07 Sep 2004,David Lean,"Drama, Romance",English,N/A,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",https://m.media-amazon.com/images/M/MV5BYWQ0MGNjOTYtMWJlNi00YWMxLWFmMzktYjAyNTVkY2U1NWNhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Universal Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",24 Aug 1946,True,86 min,Brief Encounter,movie,N/A,N/A,1945,tt0037558,8.1,"31,351"
488,"Gary Cooper, Loretta Young, William Demarest, Dan Duryea",N/A,N/A,USA,04 Sep 2001,Stuart Heisler,"Comedy, Romance, Western",English,N/A,"A good-natured saddle tramp traveling with his sidekick, is mistaken for a ruthless outlaw with a price on his head.",https://m.media-amazon.com/images/M/MV5BNTE4NDRhZTAtOTE1ZC00YzVlLThkYTUtZTA0YzFlYmY4YjZlXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,MGM Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",19 Jul 1945,True,90 min,Along Came Jones,movie,N/A,"Nunnally Johnson, Alan Le May (novel)",1945,tt0037508,6.6,"1,585"
489,"William Powell, Myrna Loy, Lucile Watson, Gloria DeHaven",N/A,N/A,USA,02 Aug 2005,Richard Thorpe,"Comedy, Crime, Mystery, Romance",English,N/A,"Nick and Nora visit Nick's hometown, and end up involved in a murder.",https://m.media-amazon.com/images/M/MV5BOWQ2NDlhYTYtZWE5Ny00YjdhLTgyMTgtZjlhYzJjZWQ3MDk3L2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,MGM (Metro-Goldwyn-Mayer),Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",01 Jan 1945,True,100 min,The Thin Man Goes Home,movie,N/A,"Robert Riskin (screen play), Dwight Taylor (screen play), Robert Riskin (from an original story by), Harry Kurnitz (from an original story by), Dashiell Hammett (based on the characters created by)",1944,tt0037365,7.4,"4,433"
490,"Ray Milland, Jane Wyman, Phillip Terry, Howard Da Silva",Won 4 Oscars. Another 12 wins & 3 nominations.,N/A,USA,06 Feb 2001,Billy Wilder,"Drama, Film-Noir",English,N/A,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,https://m.media-amazon.com/images/M/MV5BMTk4NDQ0NjgyNF5BMl5BanBnXkFtZTgwMTE3NTkxMTE@._V1_SX300.jpg,Paramount Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",01 Jan 1946,True,101 min,The Lost Weekend,movie,N/A,"Charles R. Jackson (from the novel by), Charles Brackett (screen play), Billy Wilder (screen play)",1945,tt0037884,8.0,"30,038"
491,"Joan Crawford, Jack Carson, Zachary Scott, Eve Arden",Won 1 Oscar. Another 2 wins & 6 nominations.,N/A,USA,04 Feb 2003,Michael Curtiz,"Crime, Drama, Film-Noir, Mystery, Romance",English,N/A,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.,https://m.media-amazon.com/images/M/MV5BNzljY2U2MDItYWE3Yi00OWE3LWEyMjQtMGNkZmJjNDE0NDJjXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",20 Oct 1945,True,111 min,Mildred Pierce,movie,N/A,"Ranald MacDougall (screenplay), James M. Cain (novel)",1945,tt0037913,8.0,"19,894"
492,"Boris Karloff, Ellen Drew, Marc Cramer, Katherine Emery",2 nominations.,N/A,USA,31 Oct 2006,Mark Robson,"Drama, Horror, Mystery, Thriller",English,N/A,"On a Greek island during the 1912 war, several people are trapped by quarantine for the plague. If that isn't enough worry, one of the people, a superstitious old peasant woman, suspects ...",https://m.media-amazon.com/images/M/MV5BNDQyOGJiZTctZTc4My00NTExLWFlZjEtMTdhNjY2Zjg2NjRlXkEyXkFqcGdeQXVyMTE2NzA0Ng@@._V1_SX300.jpg,RKO Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",01 Sep 1945,True,71 min,Isle of the Dead,movie,N/A,Ardel Wray,1945,tt0037820,6.6,"3,538"
493,"Mervyn Johns, Roland Culver, Mary Merrall, Googie Withers",1 win & 1 nomination.,N/A,UK,27 Jan 2009,"Alberto Cavalcanti, Charles Crichton, Basil Dearden, Robert Hamer",Horror,"English, French",N/A,An architect senses impending doom as his half-remembered recurring dream turns into reality. The guests at the country house encourage him to stay as they take turns telling supernatural tales.,https://m.media-amazon.com/images/M/MV5BYTY2OTJjZjgtMzExMy00MWJlLTg2N2ItM2NhMDQxNTNkNjFhXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Universal Pictures,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}]",15 Oct 1945,True,77 min,Dead of Night,movie,N/A,"John Baines (screenplay), Angus MacPhail (screenplay), T.E.B. Clarke (additional dialogue), H.G. Wells (original story), E.F. Benson (original story), John Baines (original story), Angus MacPhail (original story)",1945,tt0037635,7.7,"9,401"
494,"Hedy Lamarr, George Sanders, Louis Hayward, Gene Lockhart",N/A,N/A,USA,29 Apr 2014,"Edgar G. Ulmer, Douglas Sirk","Drama, Film-Noir, Romance, Thriller",English,N/A,In 1820s New England beautiful but poor and manipulative Jenny Hager marries rich old man Isaiah Poster but also seduces his son and his company foreman.,https://m.media-amazon.com/images/M/MV5BZGNiZDJjZWYtNGNkNy00YWQzLTk3MWEtY2M2MWM5NmExOWE1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Film Chest,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",25 Oct 1946,True,100 min,The Strange Woman,movie,http://filmchestmediagroup.com/,"Herb Meadow (screenplay), Ben Ames Williams (novel)",1946,tt0038990,6.7,"1,339"
